-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.002
-183.800, 80.200, 0.000,  0.143
-183.800, 80.200, -0.008,  0.162
-183.800, 80.200, 0.014,  0.183
-183.800, 80.199, 0.019,  0.202
-183.800, 80.198, 0.041,  0.221
-183.799, 80.196, 0.098,  0.240
-183.798, 80.193, 0.164,  0.348
-183.785, 80.160, 0.451,  0.368
-183.780, 80.149, 0.562,  0.395
-183.770, 80.131, 0.649,  0.415
-183.762, 80.118, 0.714,  0.435
-183.752, 80.103, 0.745,  0.549
-183.698, 80.031, 0.788,  0.570
-183.685, 80.014, 0.859,  0.596
-183.667, 79.992, 0.903,  0.618
-183.651, 79.973, 0.960,  0.639
-183.635, 79.953, 1.005,  0.753
-183.561, 79.862, 1.034,  0.787
-183.534, 79.829, 1.139,  0.813
-183.513, 79.802, 1.215,  0.835
-183.493, 79.777, 1.292,  0.957
-183.404, 79.656, 1.420,  0.979
-183.383, 79.628, 1.494,  1.002
-183.362, 79.597, 1.548,  1.024
-183.341, 79.566, 1.579,  1.046
-183.321, 79.536, 1.598,  1.160
-183.233, 79.400, 1.538,  1.181
-183.215, 79.372, 1.535,  1.210
-183.190, 79.334, 1.521,  1.232
-183.173, 79.305, 1.520,  1.253
-183.156, 79.278, 1.530,  1.364
-183.074, 79.145, 1.541,  1.386
-183.056, 79.115, 1.582,  1.413
-183.034, 79.077, 1.629,  1.435
-183.016, 79.044, 1.655,  1.456
-182.999, 79.013, 1.664,  1.565
-182.920, 78.869, 1.601,  1.592
-182.901, 78.831, 1.587,  1.614
-182.885, 78.800, 1.581,  1.636
-182.870, 78.770, 1.582,  1.657
-182.855, 78.740, 1.592,  1.771
-182.786, 78.596, 1.591,  1.799
-182.767, 78.556, 1.614,  1.828
-182.748, 78.512, 1.640,  1.849
-182.734, 78.481, 1.665,  1.869
-182.721, 78.450, 1.673,  1.971
-182.656, 78.297, 1.645,  1.992
-182.643, 78.265, 1.646,  2.017
-182.627, 78.227, 1.654,  2.037
-182.616, 78.197, 1.665,  2.057
-182.603, 78.165, 1.675,  2.166
-182.544, 78.009, 1.656,  2.186
-182.532, 77.977, 1.667,  2.213
-182.517, 77.934, 1.685,  2.233
-182.506, 77.902, 1.689,  2.253
-182.495, 77.871, 1.686,  2.358
-182.441, 77.712, 1.661,  2.378
-182.430, 77.680, 1.684,  2.400
-182.419, 77.644, 1.712,  2.420
-182.408, 77.612, 1.733,  2.441
-182.398, 77.577, 1.743,  2.545
-182.346, 77.411, 1.714,  2.567
-182.335, 77.376, 1.719,  2.597
-182.321, 77.326, 1.729,  2.619
-182.310, 77.289, 1.743,  2.639
-182.300, 77.255, 1.751,  2.744
-182.253, 77.087, 1.723,  2.769
-182.242, 77.044, 1.736,  2.796
-182.230, 76.998, 1.757,  2.818
-182.220, 76.960, 1.770,  2.838
-182.211, 76.925, 1.771,  2.944
-182.168, 76.756, 1.730,  2.965
-182.159, 76.719, 1.744,  3.008
-182.142, 76.645, 1.786,  3.036
-182.130, 76.595, 1.802,  3.168
-182.090, 76.420, 1.786,  3.189
-182.081, 76.382, 1.807,  3.213
-182.072, 76.339, 1.832,  3.233
-182.064, 76.302, 1.848,  3.254
-182.056, 76.264, 1.850,  3.361
-182.019, 76.084, 1.822,  3.383
-182.011, 76.045, 1.832,  3.412
-182.001, 75.993, 1.854,  3.433
-181.993, 75.953, 1.867,  3.453
-181.986, 75.916, 1.870,  3.562
-181.952, 75.733, 1.848,  3.583
-181.945, 75.694, 1.867,  3.611
-181.935, 75.642, 1.895,  3.632
-181.928, 75.601, 1.911,  3.654
-181.921, 75.560, 1.915,  3.756
-181.889, 75.373, 1.891,  3.780
-181.882, 75.329, 1.901,  3.810
-181.873, 75.272, 1.924,  3.831
-181.867, 75.232, 1.937,  3.852
